original,original_token_count,compressed,compressed_token_count,uncompressed_alt_one,uncompressed_alt_two
Where is the Black Strait Lake,7,,,,
What are the six ports that make up the port of Hamina-Kotka?,20,,,,
Alfred White was a famous author under which name,10,,,,
"From the text, please list which Tesla models when ordered received free supercharging and for how long?",21,,,,
"Based on the reference text, please provide a short bulleted list of 4 popular Halloween activities.",21,,,,
"Identify which animal species is alive or extinct: Amargasaurus, Black Rhino",21,,,,
What are magical creatures?,5,,,,
Does Almond Joy or Mounds have nuts?,11,,,,
How many letters there are in the hebrew language,12,,,,
What are the five largest countries in the world in terms of land area?,15,,,,
Name five teams in the Ligue 1 in France.,11,,,,
Who is William Shakespeare,4,,,,
What are Uncontacted peoples?,7,,,,
Brainstorm a list of snacks to pack for a 3 year old and a 1 year old on a road trip,26,,,,
Which is the well-known sport in India?,10,,,,
what are ways to improve public speaking skills?,9,,,,
Is an apple a fruit or a vegetable,11,,,,
Who is Magic Johnson?,5,,,,
Where does the word aurora come from?,9,,,,
Give me some cuisines I should try,8,,,,
Is there a Santa Claus and who is it?,12,,,,
Correct the typos and grammar in this passage,9,,,,
"Based on this article, how did the existence of trains impact the development of Roche Percee?",20,,,,
"Classify the below numbers into odd or even.
1, 4, 5, 333, 67, 88, 100",23,,,,
"Is a square classified as a rectangle, or is a rectangle classified as a square?",22,,,,
Extract the airlines mentioned in the text and separate them with a comma.  Which one operated the shortest flight?,26,,,,
From the passage note down the various stars of the movie Rise of the Planet of the Apes. List the results in comma separated format.,32,,,,
"Identify which animal is domesticated or wild: Guinea pig, Common",15,,,,
List down few details about CURE algorithm from given text,11,,,,
Give me a json array containing Arsenal stadiums and the year that they moved in based on the passage provided.,27,,,,
What is F1 or Formula 1 racing?,9,,,,
Aztec civilization originated from which country?,8,,,,
Categorize actions that would be effective in the event of a major earthquake as either 'effective' or 'not effective’. A. Check information via radio. B. Secure an evaculation route. C. Stay wherever you originally are. D. Use a car. E. Turn off a fire when you’re cooking.,75,,,,
What shape is the constellation of Orion?,9,,,,
Think of 3 shades of dark red that I could use to describe a rug,16,,,,
In what ways can having children improve your quality of life?,12,,,,
What are the unique characteristics of the Jindo dog breed?,13,,,,
What is the ICC ?,7,,,,
What is Skyrim?,5,,,,
Give me a list of the best romantic comedies,11,,,,
What are Vedas?,5,,,,
"Which of these are ski mountains and which are deserts: Killington, Stowe, Sahara, Kalahari, Palisades, Gobi, Northstar, and Kirkwood.",40,,,,
Given the paragraph what are the recommended places to visit in Las Vegas?,14,,,,
How do you cook a Texas brisket?,12,,,,
How to make a traditional cup of English tea?,11,,,,
Give me an example of a business model with a mission statement.,15,,,,
What is the oldest hiking trail in the US?,10,,,,
What is a surf board used for?,9,,,,
What is Indian Premier League?,6,,,,
Summarise the biography of Andrew Huberman and his most popular achievements.,17,,,,
Is Python better than R?,7,,,,
"Are the following colours considered primary colours or not: red, orange, yellow, green, blue, indigo, violet",25,,,,
Which french football player is considered one of the best strikers of all time?,17,,,,
How large is the Gull Harbour and where exactly is it located,13,,,,
Who is the winningest college women's basketball coach?,12,,,,
Why is recycling important,4,,,,
"Given this paragraph about the Subaru Outback, in what year was the Wilderness trim introduced?",20,,,,
Which film holds the record for most Academy Award wins?,11,,,,
What is the biological term for Magic Mushrooms?,12,,,,
"According to the following paragraph on LeBron James, how did he announce joining the Miami Heat?",21,,,,
Where did the marathon come from?,7,,,,
What are some different snacks I could bring to a kids' soccer game?,16,,,,
What is the difference between NumPy and pandas?,13,,,,
Why is skiing a great sport?,8,,,,
What should I do to maximize my chances of getting into a top business school?,17,,,,
There are two definitions currently used for subtropical cyclones depending on which two geographic locations?,22,,,,
Extract all unique clubs Suyash played for from the below text as a bulleted list.,21,,,,
Where was Jeff Bezos born?,9,,,,
"Based on the below text, which expansion pack for Red Alert featured the player fighting an army of mutant ants?",23,,,,
"Extract, in order from largest earning to smallest, the biggest earning markets for the premier of Moana, the 2016 Disney film.",28,,,,
how does an electric car work,6,,,,
"Identify which instrument is string or percussion: Hydraulophone, Mandriola",20,,,,
What is the best password?,6,,,,
Who are Gaunt's Ghosts?,10,,,,
Why should I rent my house to you?,9,,,,
What is a good present for my wife?,10,,,,
"What decade is the Great Gatsby set in, and what is the nickname for that time period?",22,,,,
"In the game Dungeons and Dragons, players can be spell casters or non-spell casters. Sort this list into those two categories: Wizard, Bard, Ranger, Barbarian, Cleric, Druid, Rogue, Sorcerer, Warlock, Fighter and Monk.",71,,,,
Who was among the famous Roman poets?,9,,,,
"Categorize these world leaders as male or female: Angela Merkel, Margaret Thatcher, Ronald Reagan, Vladimir Putin, Mao Tse Tung, Winston Churchill, Queen Elizabeth I",41,,,,
"Identify which instrument is string or percussion: Damphu, Dulcimer",19,,,,
What type of babies did Regalado say Jiankui was making?,17,,,,
"Based on this paragraph, how many jobs are created by tourism in Germany?",15,,,,
What would you consider when preparing a Dj set?,13,,,,
Name the largest cities in Canada,6,,,,
"Locate the classification of Picasso's work over time on the text, extract including the description and the period, and place them in a bullet list",31,,,,
Neeraj Chopra the Tokyo Olympic Gold Medallist won the Silver Medal at,16,,,,
"From the text provided, give me a summary of the most popular attractions in Yosemite National Park.",24,,,,
What is the difference between a sitar and a tanpura?,18,,,,
List me down some key aspects about windmills from given text.,14,,,,
What is SAS language?,5,,,,
Why did Ken Shamrock change his last name?,10,,,,
"What are the best types of plants to grow in Austin, Texas?",14,,,,
From the passage list down the various continental confederations under FIFA. List the results in comma separated format.,25,,,,
Name a few great fantasy book series.,9,,,,
What are some of the most well-known castles in the Loire Valley in France?,19,,,,
Why we have different seasons on earth?,8,,,,
"Write a dplyr statement takes a dataframe, filters it by the tastiness string column for ""super awesome"" then creates a new column called pct_sugar that takes the total_sugar metric and divides it by mass",63,,,,
What is a recession?,6,,,,
Why was the European Union founded?,7,,,,
In which medium does sound travel faster and why,9,,,,
What does nationwide do?,5,,,,
Is Chen Ruo Bing a Chinese or Japanese artist?,14,,,,
Which cities did some of the most famous English rock bands come from?,14,,,,
Why was the movie The Happytime Murders given such bad reviews if it was award winning?,21,,,,
How to make a Pizza dough?,8,,,,
What is absolute URL?,5,,,,
What is a hunting dog?,7,,,,
"Classify each of the following as ""Motorized"" or ""Not Motorized"": Bicycle, Skateboard, Car, Lawn Mower, Tractor, Golf Cart",40,,,,
Describe ways to deal with naughty kids as a parent,15,,,,
"Identify which instrument is string or woodwind: Veena, Mizmar",17,,,,
"Tell me whether these are sandwiches or cereals: Shredded wheat, honey bunches of oats, Frosted Flakes, Cheerios.",35,,,,
"From the following paragraph, what is the main conclusion about the halting problem?",17,,,,
"Identify which instrument is string or percussion: Galgo, Huobosi",16,,,,
What do west coast oysters taste like?,9,,,,
"Given the following paragraph about a laptops, why are laptops called ""laptop""?",20,,,,
"Classify each of the following as either elements or minerals: oxygen, cobalt, phosphorus, nitrogen, graphite, quartz, carbon, and clay.",35,,,,
Extract the name and the release year of the albums of the rock band Pink Floyd. Place them  in a bullet list and separate name and year with a comma,36,,,,
Why is merino wool a great material for clothing?,14,,,,
Who is the most decorated olympian of all time?,14,,,,
From the passage identify the subtypes of Hepatovirus A. Display the results in comma separated format.,26,,,,
What is the former prince of Wales is now referred as?,13,,,,
Why do people drink coffee in the morning?,9,,,,
"Tell me whether these are movies or books: Gone with the wind, The Canterville Ghost, Battleship",23,,,,
"Which of the following are not noble gases: helium, sodium, neon, oxygen, argon, hydrogen, calcium, magnesium, lithium, boron, krypton, nitrogen, xenon, aluminium, radon.",54,,,,
What is the difference between a piano and a guitar?,13,,,,
From the given paragraph extract all the cities that got the rail along with the year in the format {City} - {Year} and show as a bullet list,38,,,,
What is the best way to learn basketball?,9,,,,
"What does this mean: ""Steady-state theory""?",15,,,,
What is contrast therapy used for?,7,,,,
"Tell me which of the following movies are intended for adult or child audiences: The Godfather, Monsters Inc, Scream, When Harry Met Sally, Frozen II, E.T.",41,,,,
What wine is the Oregon Willamette Valley known for?,12,,,,
Mention Taylor’s work in terms of Music videos and acting.,14,,,,
"Given this paragraph about Selena Gomez, where did her first name come from?",19,,,,
"From the text, give me a short list of people the musician Bruce Gilbert collaborated with.",20,,,,
What is the mascot of Cornell University?,10,,,,
Give me a bulleted list of the top 10 NBA basketball players of all time,18,,,,
Which rock band from the 2000s is the most influential?,12,,,,
"Write a story with the theme ""Be wise when you speak.""",14,,,,
"Classify each of the following as characters who appear in books by Kevin Kwan or Veronica Roth: Astrid Leong-Teo, Kitty Pong, Colin Khoo, Peik Lin Goh, Charlie Wu, Caleb Prior, Beatrice Prior, Tori, Jeanine Matthews, Tobias Eaton",73,,,,
What are the risks of social isolation?,8,,,,
How would you define electricity based on the following paragraph?,12,,,,
Which is a species of fish? Pitbull or Tuna,13,,,,
What is sbt in Scala?,10,,,,
Can you list some good books written by Indian authors based on Indian mythology?,17,,,,
Which Australia Rules Football team has won the most grand finals?,13,,,,
Who has been elected as the 15th President of India?,12,,,,
Provide a list of ingredients to fill a burrito with,15,,,,
"What is ""woke"" and why is it so controversial?",12,,,,
Who is Pana Chand Meghwal,10,,,,
What is the difference between American football and European football?,11,,,,
What is the capital of the Netherlands?,8,,,,
What activities can I use to entertain my ten year nephew this weekend?,15,,,,
Give me a list of the world's most popular leaders at the moment.,17,,,,
"In the series A Song of Ice and Fire, who is the founder of House Seaworth?",19,,,,
List the major internet search engines,6,,,,
What is the oldest musical composition in the world?,10,,,,
Give me a list of your favor pet and breeds,12,,,,
What can you produce by chopping down a tree?,13,,,,
Who is Micky Mouse?,6,,,,
Who is the greatest cricketer of all time.,10,,,,
Which is the best place to have Masala Dosa in Bangalore,15,,,,
Why is the Uniqlo round mini shoulder bag so popular right now?,16,,,,
What athlete created the 'beast quake' for the Seattle Seahawks?,19,,,,
Please give me a bulleted list of things William Eldred Toye CM worked on,22,,,,
Why Pouilly Fumé wine going well with pesto spaghetti?,14,,,,
"Given a reference text about combat readiness, tell me which troops are kept most ready for combat.",20,,,,
List the trim levels available for the F-150 Lightning.  Separate them with a comma.,23,,,,
What is an ice pop?,7,,,,
What are some common data warehouse challenges?,8,,,,
Who is responsible for deportation of Ukrainian children to Russia?,13,,,,
What are the pros and cons of outdoor and indoor soccer?,12,,,,
What chinese like drinking hot water?,10,,,,
Is the Guinness Book of World Records legitimate?,12,,,,
What are the primary characteristics of pluralism (also known as interest group liberalism or polyarchy)? What are the main criticisms of this theory?,33,,,,
Give me a bulleted list of major soccer leagues in Europe.,16,,,,
Is it better to invest in the stock market or to keep money in a savings account?,20,,,,
How many inches are in a mile?,9,,,,
Does Spark require modified versions of Scala or Python?,11,,,,
"In The Big Lebowski, The Dude can't stand which band?",17,,,,
"Given the reference text, what is the female equivalent of Karl?",13,,,,
List five titles by Isaac Asimov.,9,,,,
What's the moroccan biodiversity ?,10,,,,
Name some of the bravolebrities from The Real Housewives of Salt Lake City,19,,,,
5 fruits more healthy than apples,6,,,,
What is a use case?,7,,,,
When was the Tesla Factory in Fremont purchased by Tesla?,12,,,,
I want to get in shape. What nutrition and exercise program should I follow?,16,,,,
Who is the NBA's all time leading scorer?,12,,,,
"Identify which instrument is string or percussion: Chikara, Bamboula",18,,,,
What are the essential skills required for a communication?,11,,,,
What kind of species is the Blissus insularis,13,,,,
What did Jordan Akins do after retiring from baseball?,11,,,,
How can I help a homeless person?,9,,,,
"Without quoting the text, explain to me why the One Mile telescope was built",17,,,,
how is kirkland central park tennis center,10,,,,
Why is driving in convertibles fun?,8,,,,
What is POP3 protocol?,7,,,,
Tell me another joke,4,,,,
"Given a reference text about Anne Elizabeth Howells, tell me the names' of her parents and how she died.",25,,,,
What are some high-potential cryptos with low marketcaps?,15,,,,
"Which of the following are Great Lakes and Oceans: Michigan, Atlantic, Superior, Eire, Pacific, Huron, Ontario, Arctic, Indian",31,,,,
Name the top 10 Manchester United Scorers of all time and how many goals they scored?,19,,,,
"Identify which instrument is string or woodwind: Cello, Danso",15,,,,
What was the name of the character Steve Buscemi played in the HBO series BoardWalk Empire?,21,,,,
Who were supporters of Quit India movement?,9,,,,
"Which items are not allowed when passing through TSA security? baby carrier, empty water bottle, dog, box cutters, baseball bat, bike, axe, cooking spray",35,,,,
Who are the founders of OpenAI?,9,,,,
Give me a bulleted list of the five biggest cities in Germany,15,,,,
What is Long COVID?,7,,,,
What are two species of beavers?,9,,,,
Which notable person having surname Liebers in this list was born first?,15,,,,
"Given this paragraph, what are some examples of long short-term memory (LSTM) use cases?",21,,,,
From the passage identify the locations of the ICICI Bank branches and its subsidiaries outside India. Display the results in comma separated format.,30,,,,
"Given a reference text about the Dormouse, in which novel is it a character?",21,,,,
"Classify each of the following water bodies as oceans and seas: Pacific, Arabian, Caspian, Atlantic",25,,,,
My chickens keep getting eaten by foxes. What should I do?,17,,,,
How are people from the Netherlands called (in English)?,12,,,,
What are the main use cases for AWS Kinesis?,13,,,,
Please give me a bulleted list of the fundamentals of baseball,15,,,,
"Classify each of the follow as a Movie or TV Show: Friends, The Office, Departed, The Town, Breaking Bad, Braveheart",34,,,,
"Who amongst these are from India: Virat Kohli, Roger Federer, Rafael Nadal, 
Novak Djokovic, Serena Williams, Andre Agassi, Sachin Tendulkar, Ricky Ponting, Anil Kumble, Harmanpreet Kaur, Mithali Raj, Sarah Taylor.",73,,,,
Who is the current prime minister of India?,9,,,,
"Identify which instrument is string or percussion: Kendang, Gekkin",17,,,,
What spices are in shawarma seasoning?,10,,,,
Conceive a plot for a John Wick movie which includes redemption and closure,17,,,,
Write a short paragraph on the impact of nutrition on human health.,14,,,,
What is Vue.js?,9,,,,
What are the Wimbledon Championships?,7,,,,
What is Apache Hive?,6,,,,
"Given a reference text about Amanecer, who made the album and what viral song did it include?",23,,,,
Who won an Oscar for the African Queen,8,,,,
"Given this paragraph about Drangajökull, tell me where it's located.",20,,,,
"Identify which instrument is string or percussion: Bendir, Rabel",15,,,,
How can I do a figure skating salchow jump?,13,,,,
"Given the reference text about the history of the Olympic marathon distance, tell me what was the distance of the Olympic marathon during the 1924 Olympics in Paris in kilometers?",33,,,,
What is the history of Tax Day in the United States?,12,,,,
How do you play an E major chord on a guitar?,13,,,,
"Which of the following is a famous food in Dali County Shaanxi Province in China: Waterbasin Lamb, Roujiamo, fried dumplings",37,,,,
Why is there an Irish pub everywhere you go?,10,,,,
Who are the most famous athletes in Seattle sports history?,11,,,,
What are some fun things to do on Oahu?,13,,,,
Extract the name of the country where Djidonou was born.,15,,,,
What is a database schema?,7,,,,
"From the passage provided, display a list of reviews in the format: {Reviewer name} - {Review}",29,,,,
Summarize the types of propaganda students distributed during the Tiananmen Square protests and massacre in a bulleted list.,28,,,,
Which is a species of fish? Power or Powen,13,,,,
Describe thunderstorm season in the United States and Canada.,11,,,,
What is home automation and how can it be used?,11,,,,
What do you think is the best Kanye album of all time?,15,,,,
"Identify which instrument is string or percussion: Bonang, Chiwang",15,,,,
What is the movie Forrest Gump about,9,,,,
Karl Lienstater discovered which medical breakthrough in 1901,11,,,,
"Classify each of these as either a green fruit or a yellow fruit: kiwi, banana, granny smith apple, starfruit, grape",34,,,,
Where does the sun rise and set?,8,,,,
"Using given text as a reference, write some details about game Crashmo",18,,,,
Who is the greatest golfer of all time?,10,,,,
Do vegetarians eat meat?,7,,,,
"At a college graduation ceremony, each graduate is handed a diploma and sunflower. Aaron, Fiona, and Noor are three graduates. Only Fiona is allergic to sunflowers. As she exits the stage, Fiona sneezes but Aaron and Noor do not. Why does Fiona sneeze but not the other two?",80,,,,
"What are 5 totally distinct, creative ways to use a glass of water?",16,,,,
"Write a short story about Batman, Superman and Spiderman",13,,,,
Extract the nationalities of the population of the Azores islands in Portugal. Separate them with a comma.,26,,,,
Name some popular computer games from early this millenia.,11,,,,
List some titles from Ray Bradbury.,8,,,,
"Are these cities or countries: Tokyo, Riyadh, Florence, Monteverde, Nafplio",24,,,,
Give me a list of 5 well known Nordic Gods and Goddesses.,17,,,,
What are the ten tallest buildings in the world?,12,,,,
Can you tell me about the Chicago Bears?,10,,,,
Give me a list of the top 5 things I should do to prepare for a holiday abroad,20,,,,
"Given this paragraph about bull sharks, how long are adult female adult sharks in feet?",19,,,,
"Based on this information that I have shared about Abel Janszoon Tasman, can you summarize it for me?",27,,,,
“Social Distancing”  refers to keeping a safe distance of,17,,,,
List some of the games that improve brain function.,10,,,,
"What part of history called a fervent period of European cultural, artistic, political, and economic “rebirth” following the Middle Ages?",31,,,,
"Based on this passage, please provide a bullet-point list of the processes used to prepare semiconducting materials for integrated circuits (ICs).",32,,,,
"Classify these as positive or negative reviews: ""Interesting concept but execution left a lot to be desired"", ""Would have loved it but the main character was completely 1D"", ""One of the best horror books I've read in years"", ""Would see it again""",62,,,,
Give me a bulleted list of the winners of the The Masters Tournament for the last decade.,21,,,,
Ideas on how to cure my dog's red paws.,14,,,,
Make me a list of all the different ways I could tell my sister about a recent vacation,20,,,,
"Given a reference text about Sean Dunphy, tell me where he is buried.",19,,,,
What component do you need to have to build a PC?,13,,,,
What are Heat Shock proteins?,7,,,,
"Tell me whether these are metals or non-metals: Sodium, Helium, Aluminum, Chlorine, Gold",26,,,,
Which is the last dynasty in China?,12,,,,
Why is soccer so popular?,6,,,,
What is a Moluccan hanging parrot?,11,,,,
"From the passage provided, extract the names of moons/natural satellites of Mars.",18,,,,
How to make a dish thicken fast without adding cream or starch?,16,,,,
Give me the list of philosophers of science from the 19th century,14,,,,
From the passage note down the awards won by Babaluku. List the results in comma separated format.,25,,,,
Give me a funny fact,6,,,,
What does long hair say about a woman?,10,,,,
Q: Will Miracle Mineral Solution (MMS) cure COVID-19?,16,,,,
"Given this paragraph about Twitter, how can programmers connect to Twitter when building custom applications?",18,,,,
Where is the language Zimba spoken?,8,,,,
Summarize legacy of ibn-Batuta,15,,,,
Summarize best way to climb Mount Everest,10,,,,
How many children did James S. Wall have?,10,,,,
"Identify which animal species is alive or extinct: Hovasaurus, Green Turtle",18,,,,
What is the difference between a day on Earth and Mars?,13,,,,
Tell me about Clarence Adams,6,,,,
"Identify which instrument is string or percussion: Kouxian, Tres cubano",20,,,,
Mary is twice as old as Elizabeth. John is two years older than Elizabeth. John's and Elizabeth's ages combined equal eight. How old is Mary? Explain your reasoning.,38,,,,
What are the three original citrus fruits?,8,,,,
"Tell me whether these are states or cities: Massachusetts, Denver, Wyoming, Los Angeles, Miami, and Alabama.",23,,,,
What are the five best places to hike in the San Francisco Bay Area and why?,17,,,,
Is SAS a language or a software product?,12,,,,
Is The Last Of Us Part I a good PC game?,14,,,,
Jot down some important points about optical illusion from the given passage.,14,,,,
What is geovisualization?,6,,,,
Think of different types of pies that can be served at dinner.,14,,,,
Write an email to my friend who lives in Minneapolis to help convince them to move to Austin Texas.,20,,,,
How much money comes in a game of Monopoly?,13,,,,
"Based on the paragraph below, describe 2 suitable applications of noble gases.",14,,,,
Which festival takes place next to Walibi Holland every year in august?,14,,,,
Who was the first Grand Prix driver to used a safety belt in 1967,15,,,,
What are the lesser known Jewish holidays?,8,,,,
According to the text what are the most common symptoms of COVID-19?,16,,,,
What is Utah known for?,6,,,,
Why do people like the band 'My Morning Jacket?',13,,,,
"Can you tell me which of the following are days and which are months? Monday, Tuesday, Wednesday, October, March, February.",27,,,,
"From the text below, extract the year and the VR headset and the company that released it in the format {Year}-{Headset Name}-{Company} and place them in a bullet list",48,,,,
Why was the iPhone such a successful product?,10,,,,
"Tell me whether each of these wines is red or white: Merlot, Pinot Noir, Pinot Gris, Malbec, Syrah, Riesling, Chardonnay",40,,,,
"Given a reference text about Hanlon's razor, when did the adage become well-known?",25,,,,
"Classify each of the following as either a dog or cat: Golden Retriever, Domestic Short Hair, Black Labrador Retriever, Siamese, Dachshund, Ragdoll",43,,,,
Write me a recipe for pizza dough,8,,,,
"Classify each of the following a muscle in the arm or leg: quadricep, bicep, tricep, forearm, calf",36,,,,
"Classify each of the following as either transportation modes or brands of vehicles: Audi, Bus, Train, Airplane, Ship, Ford, Acura, Volkswagen.",34,,,,
"Which is an imperial or a metric measurement: inch, millimetres",18,,,,
What did Michael Faraday and Georg Ohm do?,12,,,,
"In the main four professional sports leagues, what professional sports teams don't end in ""S?""",21,,,,
"The final of Asia cup was held in UAE, was won by Sri Lanka from which country",18,,,,
"Tell me which of these States' shapes have exactly four sides: Utah, Colorado, Florida, Washington, California.",23,,,,
Name late 19th century scientists credited with making electricity an essential tool for modern life.,18,,,,
Tell me a story,5,,,,
Who is Christopher Hope,4,,,,
Why is salt important in cooking?,7,,,,
How are healthcare organizations thinking about their strategy to improve healthcare delivery?,13,,,,
"Identify which instrument is string or percussion: Tombak, Cizhonghlu",19,,,,
What is Cricket?,4,,,,
Why are semantic HTML elements important to use?,9,,,,
What books would you recommend someone read to improve their general knowledge of the world?,16,,,,
"Identify which instrument is string or percussion: Tambourine, Esraj",16,,,,
"Given these two paragraphs, where did Jimmy Carter go to college?",14,,,,
What are modifiers in English?,7,,,,
"What genre of music would best represent the Grateful Dead: Americana, Country, psychedelic rock, blue grass, all of the above",31,,,,
"Can you sort these events from newest to oldest: James Cameron's movie Titanic was released, Leo Messi won world cup for Argentina, Barak Obama became president.",37,,,,
"Classify each of the following as renewable or non-renewable forms of energy: Coal, solar, wind, natural gas, nuclear, hydroelectric, petroleum",34,,,,
What is a hockey hat trick ?,10,,,,
How can a technical expert identify a business use case?,13,,,,
What was the deadliest battle in history?,9,,,,
When was Belgium founded?,5,,,,
What was the Triceratops diet?,10,,,,
Extract the names of the countries that has occurrence of Stereospermum kunthianum from the text. Separate them with a comma.,36,,,,
What University has most Heisman Trophy winners?,10,,,,
what's the tallest mountain in the world,10,,,,
"Given a reference text about Bully, tell me when it premiered and what it was about.",21,,,,
How can a football training session be planned?,10,,,,
Give me a comma separated list of stone fruit I could buy at the market,19,,,,
Which team won the 2022 Fifa World Cup?,12,,,,
What factors contributed to the decline of AI research in the 1970s?,14,,,,
"Given this paragraph about Museo Municipal Taurino Francisco Montes, where is it located?",21,,,,
"Based on the passage, which directors were considered for directing the Spider-Man movie apart from Raimi?",22,,,,
"Given a reference text about the IBJJF, provide two tournaments organized by IBJJ and the ruleset used by these tournaments.",34,,,,
"In the series A Song of Ice and Fire, who is the founder of House Gardener?",19,,,,
What are the names of the different scores you can shoot for each hole when golfing?,18,,,,
How many prototypes were made?,7,,,,
As per WHO Marburg Virus Disease(MVD) is a severe often fatal haemorrhagic fever it was earlier known as,31,,,,
What are the benefits of a high protein diet,10,,,,
Give me the details of Ezekiel's Temple,12,,,,
"If we wanted to play sports that involve a ball, which of these would we play: soccer, football, swimming, snowboard, skiing, baseball.",31,,,,
"Tell me which one does not fit with the group:  Dog, Horse, Goat, Cat, Fox",21,,,,
When did Lebron James become the NBA's all time leading scorer?,16,,,,
What is the most likely solution to fermi's paradox,12,,,,
Why is India a major outsourcing partner for Information technology services?,13,,,,
"Which of the following numbers is a real number: -200, -1.5, -1, 0, 1, 1.5, 200, pi, e, sqrt(-1)?",40,,,,
On which day did Theodore Roosevelt lose both his first wife and his mother?,17,,,,
What are the most important tools to own when I am an apartment renter?,16,,,,
Who are the top 25 regular season career points scorers in the NBA to date?,17,,,,
What is the billboard number one in the top 10 of 1980?,14,,,,
Who directed the premiere episode of season four of Game of Thrones?,13,,,,
Why are mama's boys the worst partners?,10,,,,
Which is a species of fish? Seahorse or Arabian,16,,,,
What year did Wyoming become a state?,9,,,,
find the most famous historical places in Egypt,8,,,,
What is the best time to study,7,,,,
Who and when was the compass invented?,10,,,,
Why is baseball considered such a quintessential US sport?,15,,,,
What is mutually assured destruction?,7,,,,
"here is some information about Ross McLean, how many years was Ross president of the Leavue of help for sick and elderly?",30,,,,
Provide a bulleted list of easy accommodations for autistic individuals in the workplace.,19,,,,
What is the difference between it's and its?,11,,,,
Argue that large language models are not conscious.,10,,,,
Give me five tips for practicing a speech.,10,,,,
"When giving examples of what is a verb and what is a noun, explain which of these words falls into which category. Slowly, wipe,  tidily, fully, jump, yell, sleep, talk, hopelessly.",53,,,,
What is the best way to get from one place to another?,13,,,,
Which city is best in Australia,6,,,,
"Classify each of the following as either computer hardware or computer software: hard drive, text editor, keyboard, monitor, mouse, operating system, and Internet browser.",33,,,,
What is efficient market hypothesis?,6,,,,
write a short essay fire fighters working on California wild fires,14,,,,
Give me a list of the best golf movies I've never seen.,16,,,,
Who is Milka Ivić?,8,,,,
"Tell me whether these are literary genres or titles of books: Non-fiction, 1984, Mystery, The lost girls of paris, Fiction, Narrative, The one and only Ruby, Mary Poppins, Science fiction.",48,,,,
"Identify which instrument is string or percussion: Flexatone, Ek Tare",18,,,,
Which are the states in India with coastlines?,10,,,,
How to find a boyfriend or girlfriend?,9,,,,
what is north america,5,,,,
Who was General Sir Henry Clinton,6,,,,
What is the 2008 Scottish Labour deputy leadership election?,10,,,,
"Classify each of the following as either a wine varietal or style of beer: Lager, Ale, India pale ale, Sauvignon Blanc, Cabernet Sauvignon, Pinot Noir",35,,,,
What is Doña Barbara?,7,,,,
The first Battle of Panipat was fought in the year,13,,,,
Who are the tallest people in the world?,10,,,,
Based on the following passage when do schools close and resume after summer holidays in the United States?,19,,,,
Give me a bulleted list of ways to get around New York City.,17,,,,
is operations a great career,6,,,,
Tell me which of these activities are exciting and which are relaxing.,13,,,,
how to handle loneliness in your life?,8,,,,
What popular wine varietal is produced in Washington?,11,,,,
Where can I go to workout?,7,,,,
How many large victories did Nelson have and what were the scores?,14,,,,
Classify these as a synthetic or natural fiber,10,,,,
Please list several after school activities my 8 year old daughter can participate in.,15,,,,
What are AAC devices used for?,8,,,,
When is a good time to  buy a car?,12,,,,
What kind of species is the Epophthalmia,12,,,,
Who is Doom Guy?,6,,,,
What is nihilism and why do some people believe it? List some ways that philosophers have proposed to fight against nihilism. Explain to me in a casual tone,42,,,,
Tell me three ways to get coconut from a coconut tree,12,,,,
List all the places and countries mentioned in the paragraph in the format [Place] separated by comma.,24,,,,
What are the top 7 cities to ride a bicycle?,12,,,,
What is Elzéar Abeille de Perrin known for?,15,,,,
"What are some fun, safe ways to break a social norm without breaking a law?",19,,,,
"Give me a list of places to go in San Diego, CA with kids",16,,,,
Which is a species of fish? Poacher or Hunter,13,,,,
What are the top 4 healthier sodas that I should buy?,13,,,,
When was IGFBP3 first characterized?,10,,,,
Write an introductory email to a student I will be academically coaching through Services for Students with Disabilities office (SSD).,28,,,,
What is the essence of utilitarianism?,10,,,,
Where were the 13th South Asian Games held?,10,,,,
What is the fastest air-breathing manned aircraft?,13,,,,
Why do people travel to different places.,8,,,,
Is the USS Rachel Seaman made of metal?,12,,,,
What is the best stock to buy right now?,10,,,,
Can any piece promote to a queen?,9,,,,
"Given a reference text about the Tampa Bay Buccaneers, how many Super Bowls have they won.",23,,,,
"Tell me which of these are titles from William Gibson: The Peripheral, Do Androids Dream of Electric Sheep?, Foundation, Neuromancer, Mona Lisa Overdrive, Count Zero, Pattern Recognition, The Last Question, Jennifer Government",53,,,,
What is American Red Cross,5,,,,
What is microeconomics?,6,,,,
Should high school students be allowed to drink coffee?,10,,,,
What is a mitochondrion?,10,,,,
"Classify each word as a noun, verb, or adjective: playground, eating, skinny, chubby, tall, sleeping, bed",31,,,,
Extract what model originated the first practical definition of a digital twin as well as the name of the organization and the year of creation separated by dashes,31,,,,
What are five cities in the state of North Carolina?,11,,,,
How did Frank Stagg die?,8,,,,
"Based on the reference text, which album helped Taylor Swift shift from a country star to more of a pop star?",25,,,,
Which artist's entire 1985 Live Aid set consisted of just a single cover song?,19,,,,
What’s your favorite color?,7,,,,
Extract the family that Eudaronia is part of from the text.,14,,,,
Explain Cricket game,3,,,,
What are important elements to consider when putting together a team to execute your operating model for AI?,21,,,,
From this passage tell me why Panama Canal is called one of the seven wonders of the modern world,20,,,,
Why am I so tired?,6,,,,
