"original","summarization","original_token_count","compression_token_count","compression_ratio"
"What are some popular social media applications?","List popular social media apps.","8","6","0.75"
"Is California a great place to live?","Is California a great place to live?","8","8","1.0"
"From the passage provided, extract the total corporate debt of Adani group","From the passage provided, extract the total corporate debt of Adani group","14","14","1.0"
"Which country has the largest landmass?","Country with largest land area?","8","6","0.75"
"What is a security in finance?","What is a financial security?","7","6","0.86"
"Who is the Buhler Group","Who is the Buhler Group","6","6","1.0"
"Extract and list the Barcelona players in the passage that came from the club's youth academy","Extract and list Barcelona players in the passage who are La Masia graduates.","17","15","0.88"
"Write a review of Last Argument of Kings by Joe Abercrombie","Review Last Argument of Kings by Joe Abercrombie","14","11","0.79"
"Which family of moth does the Euxoa brevipennis belong to?","Euxoa brevipennis family?","15","8","0.53"
"Identify which instrument is string or percussion: Ratchet, Hasapi","Classify Ratchet and Hasapi as string or percussion.","13","12","0.92"
"What is Ontology?","Ontology?","5","2","0.4"
"Can you please help me with a couple of points about analgesic drug, with the given text as a reference.","Two points on analgesic drug, using the provided text as reference.","23","14","0.61"
"Tell me which of these teams are in the National Football League (NFL): Seattle Seahawks, San Francisco 49ers, Seattle Mariners, Seattle Super Sonics, New England Patriots.","Which of the following teams are in the NFL: Seattle Seahawks, San Francisco 49ers, Seattle Mariners, Seattle Super Sonics, New England Patriots?","36","31","0.86"
"Please give me 3 reasons why Ronaldo is the best player in the world from this text","3 reasons Ronaldo is the best player in the world from this text.","18","14","0.78"
"Which of these flowers are annuals vs perennials: Petunias, Verbena, Alyssum, Zinnias, Digitalis Dalmatian, Amsonia, Clementine, Peonies.","Annuals vs perennials: Petunias, Verbena, Alyssum, Zinnias, Digitalis Dalmatian, Amsonia, Clementine, Peonies.","42","37","0.88"
"How long can you store cooked food in refrigerators?","Cooked food storage duration in refrigerators?","10","8","0.8"
"What is the net worth of one of Taylor Swift's cats?","Net worth of one of Taylor Swift's cats?","13","10","0.77"
"why pluto is not a planet?","Why isn't Pluto a planet?","8","6","0.75"
"Based on the reference text, who won the men's 2022 FIFA World Cup and where was it located?","From the reference text, who won the men's 2022 FIFA World Cup and where was it held?","22","21","0.95"
"Why should I watch ice hockey","Why watch ice hockey?","6","5","0.83"
"Who are the Green Bay Packers and who owns them?","Who are the Green Bay Packers and who owns them?","11","11","1.0"
"Identify which instrument is string or percussion: Rototom, Mugni","Classify Rototom, Mugni as string or percussion.","13","12","0.92"
"What makes sourdough special?","What makes sourdough special?","7","7","1.0"
"What is a head rowing race?","What is a head race?","7","6","0.86"
"Why does treasury bond price drop when bond yield increases?","Why do Treasury bond prices fall when yields rise?","11","10","0.91"
"Why should we not allow dye in our food products?","Why ban dye in our food products?","11","8","0.73"
"Classify the below based on whether continent or ocean-
Asia, Africa, North America, Atlantic, Pacific, Indian, Arctic, South America, Antarctica, Europe, Australia","Classify as continent or ocean: Asia, Africa, North America, Atlantic, Pacific, Indian, Arctic, South America, Antarctica, Europe, Australia","34","30","0.88"
"Classify each of the following as either caloric or low-fat products: butter, turnips, oils, salad dressings, spinach, sugar, water, nuts, seeds, dry bread, zucchini, strawberries, dry cereal, crackers, tomatoes, egg yolk, avocado, dried fruit, ananas, red meat, pizza, salmon, ketchup, watermelon","Classify as caloric or low-fat: butter, turnips, oils, salad dressings, spinach, sugar, water, nuts, seeds, dry bread, zucchini, strawberries, dry cereal, crackers, tomatoes, egg yolk, avocado, dried fruit, ananas, red meat, pizza, salmon, ketchup, watermelon","72","66","0.92"
"Name some players on the Golden State Warriors basketball team.","Name some Golden State Warriors players.","11","7","0.64"
"Classify the following movies as either Comedy or Horror: Weekend at Bernie's, Scream, What Lies Beneath, Happy Gilmore, Cujo, Billy Madison, Kingpin, Carrie, Halloween, Encino Man, Misery","Classify these films as Comedy or Horror: Weekend at Bernie's, Scream, What Lies Beneath, Happy Gilmore, Cujo, Billy Madison, Kingpin, Carrie, Halloween, Encino Man, Misery","47","45","0.96"
"Find the bird in this list: Shark, Dog, Arctic tern","Find the bird in this list: Shark, Dog, Arctic tern","13","13","1.0"
"What are some places to visit in Anchorage?","Places to visit in Anchorage?","9","6","0.67"
"Who planted the first wine vineyard at California's Mission San Juan Capistrano?","Who planted the first wine vineyard at Mission San Juan Capistrano?","16","14","0.88"
"What temperature can I expect at the summit if I climb Mount Kinabalu","Mount Kinabalu summit temperature?","15","7","0.47"
"What are some ideas for businesses that cater to millennials?","Millennial-focused business ideas?","11","6","0.55"
"Using examples taken from the text give me a summary of why the Boston Marathon is well known.","Using text examples, summarize why the Boston Marathon is well known.","19","13","0.68"
"How large is a regulation size basketball in the NBA?","NBA regulation basketball size?","11","5","0.45"
"What is MATLAB?","MATLAB?","4","3","0.75"
"Extract from the text the name of the movie in which Matilde Ciccia had a role","From the text, extract the film title in which Matilde Ciccia acted.","18","16","0.89"
"Could you provide some recommendations for restaurants in Yountville?","Yountville restaurant recommendations.","12","6","0.5"
"What are some comfort food style breakfasts that include eggs?","Comfort-food breakfasts with eggs?","11","6","0.55"
"In the following passage, replace Tallinn with Helsinki and Estonian with Finland.","Replace Tallinn with Helsinki and Estonian with Finland in the passage.","15","13","0.87"
"Let's make a targeted list of banks located in New York City","Create a targeted list of banks in New York City.","12","11","0.92"
"The Award Palme d’or was given to whom?","Palme d’Or winner?","10","6","0.6"
"what is a sql query?","what is sql query?","6","5","0.83"
"What are the other examples of Colour Revolutions?","List other Colour Revolutions.","10","6","0.6"
"what is hinduism","what is hinduism","4","4","1.0"
"Who was the 27th president of the United States of America?","Who was the 27th U.S. president?","14","11","0.79"
"Based on the paragraph below, what bone was used to estimate the height of William the Conquerer?","From the paragraph below, which bone was used to estimate the height of William the Conquerer?","21","20","0.95"
"Who wrote Mahabharata?","Who wrote Mahabharata?","6","6","1.0"
"Is Microsoft a FAANG stock?","Is Microsoft a FAANG stock?","7","7","1.0"
"What is Pythagorean or Pythagoras' Theorem","Pythagorean/Pythagoras' theorem?","14","11","0.79"
"What are the names of Tata trusts which Ratan Tata heads?","Names of Tata Trusts chaired by Ratan Tata?","13","11","0.85"
"Where is the best place to work in my house?","Best place to work at home?","11","7","0.64"
"Name five MLB teams in the American League.","Name five AL MLB teams.","9","6","0.67"
"Give me a list of the subjects I need to learn to become a telecommunication engineer","Subjects to learn to become a telecommunication engineer.","17","10","0.59"
"Which year was quantum computer demonstrated to be possible?","When was quantum computer demonstrated to be possible?","10","9","0.9"
"Create a bulleted list of all the Jurassic Park movies.","Bulleted list of all Jurassic Park movies.","12","9","0.75"
"Identify the bird from the list: Shrimp, Barnacle goose, Polar Bear","Identify the bird from: Shrimp, Barnacle goose, Polar Bear","16","14","0.88"
"What do you think a conversation between two AI bots would look like?","Describe a dialogue between two AI bots.","14","8","0.57"
"3 Best TV series in the World","Top 3 TV series worldwide","7","6","0.86"
"How much PVC produced each year?","Annual PVC production?","7","4","0.57"
"Using examples from the text give me a rundown of the causes of wet snow avalanches.","Using text examples, summarize the causes of wet-snow avalanches.","18","14","0.78"
"What age would a child become a tween?","Tween age?","9","3","0.33"
"is finance a great career","Finance career great?","5","4","0.8"
"What are Roland's most famous synthesizers and drum machines from the 1980s and what do they do?","Roland's most famous 1980s synths and drum machines; what do they do?","23","20","0.87"
"What is the main tax-related difference between a brokerage account and an IRA ?","Main tax difference between a brokerage account and an IRA?","15","11","0.73"
"When do schools close for summer vacation in Cameroon and Nigeria?","When do schools close for summer vacation in Cameroon and Nigeria?","12","12","1.0"
"What is the GE Dash 8-32BWH","GE Dash 8-32BWH?","11","9","0.82"
"Please tell me who Bishop Patrick MacMullan was and when he died.","Who was Bishop Patrick MacMullan, and when did he die?","15","14","0.93"
"Tell me which of the following are NBA teams: Knicks, Thunder, Kings, Lizards, Sparrows, Hawks, Warriors, Gladiators.","Which of these are NBA teams: Knicks, Thunder, Kings, Lizards, Sparrows, Hawks, Warriors, Gladiators?","29","26","0.9"
"Which national park is hardest to visit?","Hardest national park to visit?","8","7","0.88"
"What is the difference between coalesce and repartition when it comes to shuffle partitions in spark","Spark: difference between coalesce and repartition for shuffle partitions","18","12","0.67"
"Give me a list of the only two American cyclists to win the Tour de France general classification.","List the two American Tour de France GC winners.","19","10","0.53"
"How do UK telephone numbers work?","How UK phone numbers work?","7","6","0.86"
"What does WHO refer to?","WHO refers to what?","6","5","0.83"
"Given this paragraph about Dill Records, tell me when the group made CDs and who started the record label.","From the Dill Records paragraph, when did the group make CDs and who started the label?","21","18","0.86"
"What are the debt securities?","What are debt securities?","6","5","0.83"
"Can I learn to ski as an adult?","Can I learn to ski as an adult?","9","9","1.0"
"Given a reference text, who is the Ryder Cup named after?","From reference text, who is Ryder Cup named after?","13","11","0.85"
"what are some types of vandalism?","types of vandalism?","8","5","0.62"
"What makes airplanes fly?","How planes fly?","5","4","0.8"
"Who is John Melo","Who is John Melo","4","4","1.0"
"Tell me whether these are insects: ants, cicadas, flies, mosquitos, spiders, scorpions.","Are these insects: ants, cicadas, flies, mosquitos, spiders, scorpions?","23","20","0.87"
"What are red wigglers?","Red wigglers definition","7","5","0.71"
"When cooking pizza, classify each item as being ""Useful"" or ""Not Useful"": Tomato Sauce, Dough, Sun, Rain, Cheese, Oven, Shower","Pizza: classify items as Useful or Not Useful: Tomato Sauce, Dough, Sun, Rain, Cheese, Oven, Shower","31","24","0.77"
"Tell me about the play Die Schutzbefohlenen","Die Schutzbefohlenen (play) info","10","9","0.9"
"What parts are there in an academic dress? Extract them and place them in a numbered list.","Parts of an academic dress? List them in a numbered list.","19","13","0.68"
"What media outlets did Dean Dill appear in? Please format this as a bulleted list, and include the date in the format ""{Media Outlet} ({Date})"" on each line","List media outlets Dean Dill appeared in as a bulleted list; each line: {Media Outlet} ({Date})","36","23","0.64"
"What are the new 7 Wonders of Nature:","New7Wonders of Nature: list","10","8","0.8"
"What age is considered legal adulthood in much of the western world?","Legal adulthood age in much of the western world?","13","10","0.77"
"What product do the Girl Scouts sell?","What product do Girl Scouts sell?","8","7","0.88"
"Tell me about the first commercial winery in California.","Tell me about California's first commercial winery.","10","9","0.9"
"Which English football team have held the FA cup the longest?","Which English team has held the FA Cup the longest?","12","11","0.92"
"What is the relationship between interest rates and the economy?","How do interest rates affect the economy?","11","8","0.73"
"Give me an idea of a simple yet unique Mocktail made up of Mango","Mango mocktail idea: simple, unique.","15","10","0.67"
"From the paragraph below, give me a list of all the places where Leonardo lived and his areas of knowledge and scientific expertise.","From the paragraph below, list Leonardo's places of residence and his areas of knowledge and scientific expertise.","25","20","0.8"
"Write a dialogue describing a phone call between a parent named June Smith and her daughter's doctors office making an appointment for a sports physical. The daughter is named May, she plays soccer, and the doctor's schedule is very busy at the start of the school year.","Write a dialogue: June Smith calls her daughter's doctor’s office to schedule a sports physical for May, who plays soccer; the office is very busy at the start of the school year.","51","37","0.73"
"What countries have won the ODI Cricket World Cup?","List ODI World Cup winning countries.","10","7","0.7"
"Based on this passage, how many Boeing 747s are required to ship 10 of ASML's best-selling EUVs?","Based on this passage, how many Boeing 747s are required to ship 10 of ASML's best-selling EUVs?","26","26","1.0"
"What is Bubble tea?","Bubble tea definition?","5","4","0.8"
"When was the attack on Pearl Harbor","Pearl Harbor attack date?","7","6","0.86"
"Identify which instrument is string or percussion: Tabla, Tres","Tabla, Tres: string or percussion?","11","8","0.73"
"Given this paragraph about the Northamptonshire County Cricket Club, can you list down some points that can be inferred about the County Championship?","From the Northamptonshire County Cricket Club paragraph, list inferences about the County Championship.","26","17","0.65"
"Classify the following fish as either inshore/nearshore or offshore fish species: Tarpon, Bonefish, redfish, snook, trout, bass, swordfish, dolphinfish, gag, red snapper, yellowfin tuna, blackfin tuna, grouper","Classify fish as inshore/nearshore or offshore: Tarpon, Bonefish, redfish, snook, trout, bass, swordfish, dolphinfish, gag, red snapper, yellowfin tuna, blackfin tuna, grouper","56","51","0.91"
"What is another name for downhill skiing?","Another name for downhill skiing?","8","6","0.75"
"Who founded Linkedin?","Who founded Linkedin?","4","4","1.0"
"How many people of Egypt do not live in urban areas","What is Egypt's rural population?","11","7","0.64"
"Write a brief passage on how to make french toast","Write a brief passage on making french toast.","10","9","0.9"
"Classify each as fragile or not fragile: Glass, egg shells, pottery, cardboard box, styrofoam, rubber","Fragile or not: glass, eggshells, pottery, cardboard box, styrofoam, rubber","24","21","0.88"
"What is 12-3-30?","Compute 12-3-30","9","7","0.78"
"How did actor James Dean die?","How did James Dean die?","7","6","0.86"
"Which NFL franchise was ripped away from hits hometown and renamed the Baltimore Ravens?","Which NFL franchise was moved from its hometown and renamed the Baltimore Ravens?","15","14","0.93"
"Kartavya Path was called in the name of","Kartavya Path named after what?","10","8","0.8"
"Who is the protagonist in CyberPunk 2077?","Protagonist in CyberPunk 2077?","12","11","0.92"
"Provide a list of things a young felon can do when they get out of jail to turn their life around","List actions for a young ex-felon post-release to turn life around.","22","15","0.68"
"Which movie features the original song, ""City of Stars""?","Which film features the original song 'City of Stars'?","12","11","0.92"
"Is success important?","Is success important?","4","4","1.0"
"If the Curated Golden Square was built as planned, what would the average cost (rounded to the nearest dollar) per square foot have been?","If the Curated Golden Square was built per plan, what would the average cost per square foot have been, rounded to the nearest dollar?","29","28","0.97"
"What is the Oxford Comma?","Oxford comma definition?","7","4","0.57"
"Tell me whether these Pokémon are water or fire type: Squirtle, Charizard, Ninetales, Arcanine, Poliwhirl, Psyduck","Water or fire types: Squirtle, Charizard, Ninetales, Arcanine, Poliwhirl, Psyduck","32","26","0.81"
"How to play tic-tac-toe","Tic-tac-toe rules","8","7","0.88"
"Name five different cheeses.","Name five different cheeses.","5","5","1.0"
"Give me a bulleted list of the 7 wonders of the ancient world:","Give me a bulleted list of the 7 wonders of the ancient world:","16","16","1.0"
"What are five totally distinct, creative ways to describe the usefulness of a broken stapler?","Five distinct, creative descriptions of a broken stapler's usefulness.","18","13","0.72"
"List terrible things to step on with bare feet.","List terrible things to step on barefoot.","10","8","0.8"
"What is the origin of the Easter Egg in video games?","Origin of the Easter Egg in video games?","12","9","0.75"
"Can you give me a short summary of Mindfulness and how to practice it?","Brief Mindfulness summary and how to practice.","16","9","0.56"
"Best food in the world","Best world food","5","3","0.6"
"Identify which instrument is string or percussion: Turkish crescent, Banjo","Classify as string or percussion: Turkish crescent, Banjo","14","13","0.93"
"Identify which animal species is alive or extinct: Pterodactyl, Snow Leopard","Alive or extinct: Pterodactyl, Snow Leopard","17","12","0.71"
"What kind of language is Shauraseni Prakrit","Shauraseni Prakrit language type?","11","9","0.82"
"What are the benefits of using genetically modified crops in agriculture?","Benefits of GM crops in agriculture?","12","7","0.58"
"Why is the traffic so bad in Seattle Tuesday through Thursday?","Why is Seattle traffic so bad Tue–Thu?","12","10","0.83"
"Which soccer player has the most number of career goals?","Which soccer player has the most career goals?","11","9","0.82"
"What are some iconic Renaissance period artists?","Iconic Renaissance artists?","8","5","0.62"
"How do I create knit stitches?","How to knit stitches?","7","5","0.71"
"What season does Easter happen during?","Which season is Easter in?","7","6","0.86"
"What is One Piece?","What is One Piece?","5","5","1.0"
"Given a reference text about the Parliamentary Commissioner for Standards, how is the position appointed?","Given a reference text about the Parliamentary Commissioner for Standards, how is the position appointed?","17","17","1.0"
"What are good Virtual Reality concepts?","Good VR concepts?","7","4","0.57"
"For each of these countries, tell whether it lies in the Western Hemisphere, Eastern Hemisphere, or both:  Thailand, United Kingdom, Belize, Japan, Algeria","For each country, state whether it is in the Western Hemisphere, Eastern Hemisphere, or both: Thailand, United Kingdom, Belize, Japan, Algeria","32","29","0.91"
"What are some key considerations when deciding whether or not to implement ERP in my organization?","Key considerations for ERP implementation in my organization.","17","9","0.53"
"What's the difference between Spiders and insects?","Spiders vs insects difference?","9","6","0.67"
"Which of these is not like the other?  Baseball, basketball, rock, puck,","Which is not like the others: baseball, basketball, rock, puck","18","14","0.78"
"Extract the names of the islands located on the Eastern Group of the Azores plateau from the text. Separate them with a comma.","From the text, extract island names in the Eastern Group of the Azores Plateau; output comma-separated.","26","21","0.81"
"how do you smoke a brisket?","how to smoke a brisket?","8","7","0.88"
"Give me some details about the MV Cape Race please","MV Cape Race details","10","4","0.4"
"What is the difference between leadership and management?","Leadership vs management difference?","9","5","0.56"
"Wthat is the difference between Speed and Velocity ?","Difference between speed and velocity?","10","6","0.6"
"Given this paragraph about kubernetes, what is the storage layer of Kubernetes control plane?","From this Kubernetes paragraph, what's the storage layer of the control plane?","18","14","0.78"
"Healthy choice for kids or unhealthy: French Fries, Banana, Candy, Vegetables","Healthy or unhealthy for kids: French Fries, Banana, Candy, Vegetables","16","15","0.94"
"Tell me whether each of these are flat or pointed: mountain, plateau, table, knife, arrow, road","Flat or pointed: mountain, plateau, table, knife, arrow, road.","22","16","0.73"
"Provide a dot point list of the last six artists that won a Grammy Award for Best Album. Include the title of the album and the year they won.","Dot-point list: last six Album of the Year winners; include artist, album title, and year won.","31","22","0.71"
"If playing golf, categorize which of the following parts of the course would be considered 'hazards', which would be 'safe', and which would be 'neither': The green, a sand trap, a stream, the fairway, the club house, and the tee box.","Classify golf-course features as hazard, safe, or neither: green, sand trap, stream, fairway, clubhouse, tee box.","57","28","0.49"
"What is the difference between instant oatmeal and regular oatmeal?","Difference between instant oatmeal and regular oatmeal?","11","8","0.73"
"Please give me a brief summary of this paragraph about Tom Brady's NFL accomplishments.","Summarize this paragraph on Tom Brady's NFL accomplishments.","16","12","0.75"
"Describe how you would approach a corporate rebrand. Share your objectives, timeline, required budget and resources, and how you would measure your success.","Corporate rebrand plan: objectives; timeline; budget/resources; success metrics.","29","15","0.52"
"If you had a chance to go on a trip to Mars, would you - why or why not?","If you could go to Mars, would you? Why or why not?","21","15","0.71"
"From the given text, Provide some info regarding consistory","From the given text, Provide some info regarding consistory","11","11","1.0"
"Which states produced more than 10% of total US oil production in 2020?","States producing >10% of US oil production in 2020?","18","14","0.78"
"How much wood could a woodchuck chuck if a woodchuck could chuck wood?","How much wood could a woodchuck chuck if a woodchuck could chuck wood?","18","18","1.0"
"Which of these cities are in Austria: Graz, Warsaw, Amsterdam, Vienna, New York, Jakarta","Which cities in Austria: Graz, Warsaw, Amsterdam, Vienna, New York, Jakarta","20","17","0.85"
"What is the emblem of the United States Marine Corps?","What is the emblem of the United States Marine Corps?","11","11","1.0"
"What is the difference between mozzarella and cheddar?","Difference between mozzarella and cheddar?","9","6","0.67"
"What was the Bismarck battleship?","What was the Bismarck battleship?","9","9","1.0"
"If you find yourself being pursued by a hungry bear in the woods, label each of these items in your backpack as either 'useful', 'not useful', or 'an unfortunate choice to pack':  a fish, a gun, a book, a hamburger.","If pursued by a hungry bear in the woods, label each item in your backpack as 'useful', 'not useful', or 'an unfortunate choice to pack': a fish, a gun, a book, a hamburger.","53","45","0.85"
"How the interpretation of the word nature evolved over time?","How the interpretation of the word nature evolved over time?","11","11","1.0"
"ways to reduce solid waste","ways to reduce solid waste","5","5","1.0"
"What was the name of Dorrie Nossiter's exhibition?","Dorrie Nossiter exhibition name?","14","9","0.64"
"Identify which instrument is string or percussion: Gandingan, Psaltery","String or percussion: Gandingan, Psaltery.","13","10","0.77"
"Given a reference text about Adventfjorden, how wide and long is it?","Adventfjorden reference text: width and length?","16","11","0.69"
"Identify which animal species is alive or extinct: Elasmosaurus, Blue Whale","Alive or extinct: Elasmosaurus, Blue Whale","15","10","0.67"
"Where does the name of the UK county 'Essex' originate from?","Origin of the name 'Essex' (UK county)?","15","12","0.8"
"Extract the name of the founder of Salesforce from the text","Extract Salesforce founder's name from the text.","11","9","0.82"
"How did early civilizations use dates and dried fruits?","How did early civilizations use dates and dried fruits?","10","10","1.0"
"What do the suits on a deck of cards represent?","What do card suits represent?","11","6","0.55"
"What is the most popular opening in chess?","Most popular chess opening?","9","5","0.56"
"What language should I learn?","What language should I learn?","6","6","1.0"
"Identify which of the following are episodes from Season 4 or Season 5 of The X-Files: Schizogeny, Chinga, The Post-Modern Prometheus, Mind's Eye, All Souls, Herrenvolk, Unruhe, Teliko, Home, Tunguska","Which of these are Season 4 or 5 X-Files episodes: Schizogeny, Chinga, The Post-Modern Prometheus, Mind's Eye, All Souls, Herrenvolk, Unruhe, Teliko, Home, Tunguska","58","52","0.9"
"Based on the reference text about Bruce Nodwell, what did he create?","From the Bruce Nodwell reference text, what did he create?","15","13","0.87"
"Identify which animal species is alive or extinct: Finch, Bonobo","Alive or extinct: Finch, Bonobo","13","8","0.62"
"How did Ella Tromp begin her political career?","How did Ella Tromp begin her political career?","10","10","1.0"
"What made Jackson decide to pursue acting?","What made Jackson pursue acting?","8","6","0.75"
"Given a reference text about the Mid-South Grizzlies vs NFL, what was the result of the lawsuit?","Mid-South Grizzlies vs NFL: lawsuit result?","23","12","0.52"
"Tell me whether these are metal bands or pop bands: Metallica, Iron Maiden, The Beatles, Coldplay, Slipknot, Slayer, One Direction, ABBA, The Beach Boys, Megadeth, Dream Theater, Machine Head, Queen, The Who, Bee Gees, Lamb Of God, BTS, Anthrax, System of a Down","Metallica, Iron Maiden, Slipknot, Slayer, Megadeth, Dream Theater, Machine Head, Lamb Of God, Anthrax, System of a Down The Beatles, Coldplay, One Direction, ABBA, The Beach Boys, Queen, The Who, Bee Gees, BTS","71","59","0.83"
"What is cuban cuisine?","Cuban cuisine?","6","4","0.67"
"Extract all the movies from this passage and the year they were released out. Write each movie as a separate sentence","List all movies in this passage with their release years; one sentence per movie.","22","16","0.73"
"Which of the following from this list are types of flowers and which are names of European countries: roses, Norway, tulips, the Netherlands, Sweden, France, Spain, Greece, Italy, and sunflowers.","Classify items as flower or European country: roses, Norway, tulips, the Netherlands, Sweden, France, Spain, Greece, Italy, sunflowers.","43","32","0.74"
"What's a relaxing activity to do when visiting Seoul, South Korea?","Relaxing activity while visiting Seoul, South Korea?","13","10","0.77"
"What is an atmospheric river?","Define atmospheric river.","6","4","0.67"
"From the passage extract the career wards as a bulleted list with year and name.","Extract career wards from passage as bulleted list with year and name.","17","14","0.82"
"What kind of farm animal can I have in my backyard without my neighbors noticing.","What farm animal can I keep in my backyard without neighbors noticing?","16","13","0.81"
"What is the most powerful Porsche flat six engine?","Most powerful Porsche flat-six engine?","10","7","0.7"
"What are ten places I should eat in Paris?","Ten places to eat in Paris.","10","7","0.7"
"Given this paragraph about Novak Djokovic, how many majors titles does he currently hold?","From this Novak Djokovic paragraph, how many majors titles does he currently hold?","16","15","0.94"
"What should be an men do in weekend","What should a man do on weekend","8","7","0.88"
"If 2 carpenters can build 4 chairs in 3 hours, then how many chairs can 6 carpenters build in 6 hours?","2 carpenters build 4 chairs in 3 hours; how many chairs can 6 carpenters build in 6 hours?","32","28","0.88"
"Name some of the superhero teams of Marvel Comics as per the passage.","List Marvel superhero teams from the passage.","14","8","0.57"
"Which is a species of fish? Red snapper or Red Sox","Which is a species of fish? Red snapper or Red Sox","13","13","1.0"
"What is the difference between UK and Great Britain?","Difference between UK and Great Britain?","10","7","0.7"
"How do I turn on my Tesla Model Y?","How to power on Tesla Model Y?","10","8","0.8"
"What states do not have a state gambling lottery?","Which states lack a state lottery?","10","7","0.7"
"Why is working out important for humans?","Why is exercise important for humans?","8","7","0.88"
"Given these paragraphs about Multiomics, what is panomics?","From these multiomics paragraphs, what is panomics?","12","11","0.92"
"What advice would you give to FBLA competitors for future years?","Advice for FBLA competitors in future years?","13","9","0.69"
"Identify which instrument is string or percussion: Bass drum, Goje","Bass drum: percussion; Goje: string","13","9","0.69"
"In the Impeachment proceeding against Donald Trump, the motion was passed by?","Trump impeachment: who passed the motion?","16","8","0.5"
"What are some common Indian spices?","Common Indian spices?","7","4","0.57"
"What caused Africa's integration into the Roman System?","What caused Africa's integration into the Roman System?","10","10","1.0"
"Who were the ""Big Four"" of Grunge?","Who were the Big Four of grunge?","11","9","0.82"
"What was the hit single on Nek's 1996 Album Lei, gli amici e tutto il resto?","Hit single from Nek's 1996 album Lei, gli amici e tutto il resto?","21","18","0.86"
"Classify the plants based on whether they are aquatic or mangrove
Pistia stratiotes, Lysichiton americanus , Rhizophora mangle, Avicennia germinans","Pistia stratiotes: aquatic; Lysichiton americanus: aquatic; Rhizophora mangle: mangrove; Avicennia germinans: mangrove","40","36","0.9"
"Why does Daenerys Targaryen want to rule Westeros?","Why does Daenerys Targaryen want to rule Westeros?","15","15","1.0"
"Where can you find Lygodactylus gutturalis?","Where to find Lygodactylus gutturalis?","14","13","0.93"
"Tell me why your dog likes dog daycare.","Explain why your dog likes dog daycare.","9","8","0.89"
"Write a short story about a person who discovers a bowling ball with special powers to roll strikes every time. The story should include a plot twist and a clear resolution at the end.","Write a short story about a person who discovers a bowling ball with special powers to roll strikes every time; include a plot twist and a clear resolution at the end.","36","33","0.92"
"What is the art of command","What is the art of command","6","6","1.0"
"Tell me whether these are animals or bands names: Eagles, Camels, Penguins, The Turtles, The Beatles, The Animals, Arctic Monkeys, Spain, France, Gorillas, Gorillaz, Crazy Horse, Lamb Of God, Beluga sturgeon","Animal or band: Eagles, Camels, Penguins, The Turtles, The Beatles, The Animals, Arctic Monkeys, Spain, France, Gorillas, Gorillaz, Crazy Horse, Lamb Of God, Beluga sturgeon","53","47","0.89"
"Write a linkedIn Message to ask a higher officer in company before joining asking about what all I have to prepare any tips or advice on what I should focus on or study for so that i can be well accustomed with the required skill sets for the job.","Draft a LinkedIn message to a senior executive before joining; ask what to prepare and what to study to master the job's required skills.","51","28","0.55"
"What is the best place to visit in India","Best place to visit in India?","9","7","0.78"
"How many professional basketball teams are based in California?","How many pro basketball teams are in California?","10","9","0.9"
"How do you play baseball?","How to play baseball?","6","5","0.83"
"Extract the names of the winners of the Berlin Marathon from the reference text and provide them as a bulleted list.","From the reference text, list Berlin Marathon winners' names as bullet points.","23","15","0.65"
"Prove that 2 + 2 = 5.","Prove 2+2=5.","12","9","0.75"
"Determine the company which produces the following automotive brands: Chevrolet, GMC, Dodge, Lexus, Buick, Cadillac, Pontiac, Acura, Lincoln, and Jeep.","Which company manufactures the following brands: Chevrolet, GMC, Dodge, Lexus, Buick, Cadillac, Pontiac, Acura, Lincoln, Jeep?","31","27","0.87"
"Which team's have the most NCAA Division I men's basketball championships?","Which team's have the most NCAA Division I men's basketball championships?","12","12","1.0"
"What are some of the pros and cons of owning a pet?","Pet ownership pros and cons?","13","6","0.46"
"Which sports offer championship belts to their winners?","Which sports award championship belts to winners?","9","8","0.89"
"What type of battery should I get to power my trolling motor?","Best battery type for trolling motor?","13","7","0.54"
"How long did the Roman Empire last","Duration of the Roman Empire?","7","6","0.86"
"What are some nice activities to do in the Netherlands in spring?","Nice spring activities in the Netherlands?","13","7","0.54"
"What are the words of House Beesbury?","House Beesbury motto?","9","5","0.56"
"Is it safe to smoke at a gas station?","Is smoking at a gas station safe?","10","8","0.8"
"Extract the places in the following paragraph. Give them as a numbered list.","Extract places from the following paragraph; output a numbered list.","15","12","0.8"
"Extract the types of businesses in downtown Stroudsburg, list each in a new line preceded with the number for each","Extract downtown Stroudsburg business types; enumerate each on its own line, numbered.","23","17","0.74"
"Give me some things to think about when planning a party","Party planning considerations.","11","4","0.36"
"How many people are needed to perform the Turing test?","How many people are needed for the Turing test?","12","11","0.92"
"I am a reader in the US and would like to get started in collecting special edition books. Where should I start?","US reader wants to start collecting special edition books. Where to begin?","24","14","0.58"
"What is ClassRanked?","What is ClassRanked?","6","6","1.0"
"Given this paragraph about cat's senses, what light level can domestic house cats see at in comparison to human sight?","Cat light level seen vs human sight.","23","8","0.35"
"What is an expert system, and when did they first emerge?","What is an expert system and when did it first emerge?","13","12","0.92"
"List Toddler favorite TV shows in 2023","List toddler favorite TV shows 2023","10","8","0.8"
"What is the best surface to run on?","Best running surface?","9","4","0.44"
"Provide a bulleted list of the territorial changes from the Treaty of Versailles","Bullet list of territorial changes in the Treaty of Versailles.","14","11","0.79"
